_id,TimeStamp,PART_FACT_PLAN_DATE,PART_FACT_SERIAL,PART_NAME,EQUIP_CD,EQUIP_NAME,PassOrFail,Reason,Injection_Time,Filling_Time,Plasticizing_Time,Cycle_Time,Clamp_Close_Time,Cushion_Position,Switch_Over_Position,Plasticizing_Position,Clamp_Open_Position,Max_Injection_Speed,Max_Screw_RPM,Average_Screw_RPM,Max_Injection_Pressure,Max_Switch_Over_Pressure,Max_Back_Pressure,Average_Back_Pressure,Barrel_Temperature_1,Barrel_Temperature_2,Barrel_Temperature_3,Barrel_Temperature_4,Barrel_Temperature_5,Barrel_Temperature_6,Barrel_Temperature_7,Hopper_Temperature,Mold_Temperature_1,Mold_Temperature_2,Mold_Temperature_3,Mold_Temperature_4,Mold_Temperature_5,Mold_Temperature_6,Mold_Temperature_7,Mold_Temperature_8,Mold_Temperature_9,Mold_Temperature_10,Mold_Temperature_11,Mold_Temperature_12
5f8928bb9c0189cc666ef19b,2020-10-16 4:57,2020-10-16 ?¤ì „ 12:00:00,24,CN7 W/S SIDE MLD'G RH,S14,650???°ì§„2?¸ê¸°,Y,None,9.590000153,4.46999979,16.92000008,59.52000046,7.130000114,653.4099731,0,68.84999847,647.9899902,55.40000153,30.70000076,292.5,141.8000031,136.8000031,37.40000153,59.29999924,276.5,274.7000122,274.7999878,269.2000122,255,229.6999969,0,66.30000305,0,0,24.79999924,27.5,0,0,0,0,0,0,0,0
5f8928de9c0189cc666ef20b,2020-10-16 4:58,2020-10-16 ?¤ì „ 12:00:00,24,CN7 W/S SIDE MLD'G RH,S14,650???°ì§„2?¸ê¸°,Y,None,9.600000381,4.480000019,16.90999985,59.58000183,7.130000114,653.4099731,0,68.83999634,647.9899902,55.29999924,30.79999924,292.5,141.8000031,136.8999939,37.5,59.29999924,276.2000122,275.5,275.2999878,270.7999878,254.6999969,229.5,0,67.19999695,0,0,24.79999924,27.60000038,0,0,0,0,0,0,0,0
5f8928df9c0189cc666ef213,2020-10-16 4:58,2020-10-16 ?¤ì „ 12:00:00,23,CN7 W/S SIDE MLD'G LH,S14,650???°ì§„2?¸ê¸°,Y,None,9.600000381,4.480000019,16.90999985,59.58000183,7.130000114,653.4099731,0,68.83999634,647.9899902,55.29999924,30.79999924,292.5,141.8000031,136.8999939,37.5,59.29999924,276.2000122,275.5,275.2999878,270.7999878,254.6999969,229.5,0,67.19999695,0,0,24.79999924,27.60000038,0,0,0,0,0,0,0,0
5f8928f39c0189cc666ef25e,2020-10-16 4:59,2020-10-16 ?¤ì „ 12:00:00,23,CN7 W/S SIDE MLD'G LH,S14,650???°ì§„2?¸ê¸°,Y,None,9.590000153,4.480000019,16.90999985,59.56000137,7.130000114,653.4199829,0,68.83999634,647.9899902,55.29999924,31,292.5,141.8000031,136.8000031,37.5,59.29999924,276.5,275,275.3999939,271.1000061,254.8999939,230,0,66.90000153,0,0,25,27.60000038,0,0,0,0,0,0,0,0
5f8928f59c0189cc666ef265,2020-10-16 4:59,2020-10-16 ?¤ì „ 12:00:00,24,CN7 W/S SIDE MLD'G RH,S14,650???°ì§„2?¸ê¸°,Y,None,9.590000153,4.480000019,16.90999985,59.56000137,7.130000114,653.4199829,0,68.83999634,647.9899902,55.29999924,31,292.5,141.8000031,136.8000031,37.5,59.29999924,276.5,275,275.3999939,271.1000061,254.8999939,230,0,66.90000153,0,0,25,27.60000038,0,0,0,0,0,0,0,0
5f89294b9c0189cc666ef5b9,2020-10-16 5:00,2020-10-16 ?¤ì „ 12:00:00,24,CN7 W/S SIDE MLD'G RH,S14,650???°ì§„2?¸ê¸°,Y,None,9.579999924,4.460000038,16.89999962,59.58000183,7.130000114,653.4099731,0,68.83999634,647.9899902,55.59999847,30.89999962,292.5,141.6999969,136.3999939,37.70000076,59.40000153,276.2999878,275.2999878,275.2000122,271.3999939,255,230,0,67.5,0,0,25,27.60000038,0,0,0,0,0,0,0,0
5f89294c9c0189cc666ef5d6,2020-10-16 5:00,2020-10-16 ?¤ì „ 12:00:00,23,CN7 W/S SIDE MLD'G LH,S14,650???°ì§„2?¸ê¸°,Y,None,9.579999924,4.460000038,16.89999962,59.58000183,7.130000114,653.4099731,0,68.83999634,647.9899902,55.59999847,30.89999962,292.5,141.6999969,136.3999939,37.70000076,59.40000153,276.2999878,275.2999878,275.2000122,271.3999939,255,230,0,67.5,0,0,25,27.60000038,0,0,0,0,0,0,0,0
5f8929989c0189cc666ef872,2020-10-16 5:01,2020-10-16 ?¤ì „ 12:00:00,24,CN7 W/S SIDE MLD'G RH,S14,650???°ì§„2?¸ê¸°,Y,None,9.579999924,4.460000038,16.92000008,59.56000137,7.130000114,653.4099731,0,68.84999847,647.9899902,55.5,30.60000038,292.3999939,141.8000031,136.6999969,37.40000153,59.29999924,275.7999878,275.3999939,275,271.2999878,255,230,0,67,0,0,25,27.60000038,0,0,0,0,0,0,0,0
5f8929999c0189cc666ef87d,2020-10-16 5:01,2020-10-16 ?¤ì „ 12:00:00,23,CN7 W/S SIDE MLD'G LH,S14,650???°ì§„2?¸ê¸°,Y,None,9.579999924,4.460000038,16.92000008,59.56000137,7.130000114,653.4099731,0,68.84999847,647.9899902,55.5,30.60000038,292.3999939,141.8000031,136.6999969,37.40000153,59.29999924,275.7999878,275.3999939,275,271.2999878,255,230,0,67,0,0,25,27.60000038,0,0,0,0,0,0,0,0
5f8929a89c0189cc666ef8fe,2020-10-16 5:02,2020-10-16 ?¤ì „ 12:00:00,24,CN7 W/S SIDE MLD'G RH,S14,650???°ì§„2?¸ê¸°,Y,None,9.569999695,4.449999809,16.90999985,59.52000046,7.139999866,653.4099731,0,68.83000183,647.9899902,55.70000076,30.79999924,292.5,141.6000061,136.3999939,37.09999847,59.09999847,275.7000122,274.8999939,274.7999878,270.7999878,255.3999939,230.1000061,0,66.69999695,0,0,24.79999924,27.5,0,0,0,0,0,0,0,0
